,description,link,location,phone,service_name,va_facility
42,"Prosthetics and Sensory Aids Service is esponsible for providing medically prescribed equipment, supplies, devices, and prosthetic and orthotic services.",/services/Prosthetics_and_Sensory_Aids_Service.asp,Albany VA main campus A311,518-626-5826,Prosthetics and Sensory Aids,www.albany
43,The Radiology and Diagnostic Imaging Service at Albany Stratton VA Medical Center uses some of the most advanced imaging devices available.,/services/Radiology_and_Diagnostic_Imaging.asp,Albany VA main campus 2A,518-626-6350,Radiology and Diagnostic Imaging,www.albany
44,Spinal Cord Injury and Disorders program provides a number of inpatient and outpatient services to meet the needs of Veterans with spinal cord injury.,/services/Spinal_Cord_Injury_and_Disorders.asp,"Albany VA, 1C, Office C108",518-626-6488,Spinal Cord Injury and Disorders,www.albany
45,Our Substance Abuse Programs offer encouragement and support to help break free from addiction to alcohol and other substances.,/services/Substance_Abuse_Services.asp,Albany VA 10C,518-626-5388  518-626-5386,Substance Abuse Services,www.albany
46,Telehealth provides easier access to health care through the use of new technology.,/services/Telehealth.asp,Albany VA main campus,518-626-5501,Telehealth,www.albany
47,"Urology provides general urological and  surgical services, managing benign and malignant medical and surgical disorders of the genitourinary system.",/services/Urology.asp,5A,518-626-6375,Urology,www.albany
48,We offer a wide range of services for partially sighted Veterans who have low vision or are legally blind.,/services/Vision_Rehabilitation_Services.asp,05 Core,518-626-6367  518-626-5587,Vision Rehabilitation Services,www.albany
49,"If you have not already enrolled for VA health care, please bring your DD Form 214 and a copy of both sides of your current insurance card to our medical center.",/services/Admissions.asp,Raymond G. Murphy VA Medical CenterBuilding 41Lobby - Enrollment Office,505-265-1711 Ext. 2741,Admissions,www.albuquerque
50,The Caregiver Support program is for Veterans who were injured in the line of duty after 9/11/2001 and have a family member who helps them with daily living activities.,/services/Caregiver_Support_Coordinator.asp,Raymond G. Murphy VA Medical CenterBuilding 414A-116,505-265-1711 Ext. 7218,Caregiver Support Coordinator,www.albuquerque
51,"Chaplain Service provides religious, spiritual and pastoral care through visitation and counseling as requested by patients and, in limited situations, their families.",/services/Chaplain_Service.asp,Raymond G. Murphy VA Medical CenterBuilding 41Room 2A-104,505-265-1711 Ext. 2735,Chaplain Service,www.albuquerque
52,VA can help Veterans gain access to community services and build healthy communities for Veterans and their families.,/services/Community_Mental_Health_Point_of_Contact.asp,Raymond G. Murphy VA Medical CenterBuilding 1Room 221,505-265-1711 Ext. 5166,Community Mental Health Point of Contact,www.albuquerque
53,VA provides compensation to Veterans who are at least 10% disabled because of injuries or diseases that occurred or were aggravated during active military service.,/services/Compensation_Pension.asp,Raymond G. Murphy VA Medical CenterBuilding 41Room 4A-100,505-265-1711 Ext. 6169  505-265-1711 Ext. 5103,Compensation & Pension,www.albuquerque
54,"The Decedent Affairs Office provides guidance, assistance, and information regarding VA burial Benefits for eligible Veterans and their families.",/services/Decedent_Affairs.asp,Raymond G. Murphy VA Medical CenterBuilding 41Room 1A-104,505-265-1711 Ext. 2633,Decedent Affairs,www.albuquerque
55,Emergency services at our medical center are available 24 hours a day,/services/Emergency_Department.asp,"Raymond G. Murphy VA Medical CenterBuilding 411st Floor, East side of Building",505-265-1711 Ext. 2740  505-265-1711 Ext. 2516,Emergency Department,www.albuquerque
56,Eligibility staff are available to assist Veterans with healthcare benefit needs.,/services/Enrollment.asp,Raymond G. Murphy VA Medical CenterBuilding 41Just inside main entrance,505-265-1711 Ext. 2741,Enrollment,www.albuquerque
57,The Former POW Advocate serves as resource to connect former POWs with the services they may need.,/services/Former_Prisoner_of_War_Advocate.asp,Raymond G. Murphy VA Medical CenterBuilding 41Room 2D-103,505-265-1711 Ext. 2774,Former Prisoner of War Advocate,www.albuquerque
58,The local Homeless Program Coordinator helps homeless Veterans and those at risk of becoming homeless.,/services/Homeless_Program_Coordinator.asp,Raymond G. Murphy VA Medical CenterBuilding 52West end of campus,505-265-1711 Ext. 2784,Homeless Program Coordinator,www.albuquerque
59,Military sexual trauma (MST) is the term that the VA uses to refer to sexual assault or harassment that occurred while the Veteran was in the military.,/services/Military_Sexual_Trauma.asp,Raymond G. Murphy VA Medical CenterBuilding 1Room 160,505-265-1711 Ext. 2473,Military Sexual Trauma,www.albuquerque
60,"My HealtheVet is VA's online personal health record, designed for Veterans, active duty Service members, their dependents and caregivers.",/services/MyHealtheVet.asp,Raymond G. Murphy VA Medical CenterBuilding 41Room 1A-276,505-265-1711 Ext. 4342,My HealtheVet,www.albuquerque
61,Nutrition and Food Service is committed to providing the best quality customer service to improve the health and satisfaction of our Veterans and their families.,/services/Nutrition_and_Food_Services.asp,Raymond G. Murphy VA Medical CenterBuilding 41Basement - BB109,505-265-1711 Ext. 6054,Nutrition and Food Service,www.albuquerque
62,Laboratory personnel collect blood samples and perform many tests that aid physicians in the diagnosis and treatment of a variety of conditions.,/services/Pathology_and_Laboratory.asp,Raymond G. Murphy VA Medical CenterBuilding 41Basement - Lab,505-265-1711 Ext. 2330,Pathology and Laboratory,www.albuquerque
63,The NMVAHCS has a comprehensive Patient Health Education (PHE) Program.,/services/Patient_Health_Education.asp,Raymond G. Murphy VA Medical CenterBuilding 41Primary Care - 1A-206,505-265-1711 Ext. 4941,Patient Health Education,www.albuquerque
64,Veterans Transportation Service  is available to aid Veterans with travel assistance for those who qualify.,/services/Patient_Travel.asp,Raymond G. Murphy VA Medical CenterBuilding 1Room 105,505-265-1711 Ext. 2821,Patient Travel,www.albuquerque
65,Pharmacy information and services.,/services/Pharmacy.asp,Building 41First Floor,505-265-1711 Ext. 5767  800-465-8262 Ext. 5767,Pharmacy,www.albuquerque
66,Privacy and FOIA officer ensures adherence to VA privacy policies and FOIA.,/services/Privacy_Office_and_Freedom_of_Information_Act_FOIA.asp,Raymond G. Murphy VA Medical CenterBuilding 41Room BA-107C,505-265-1711 Ext. 5723,Privacy Office and Freedom of Information Act (FOIA),www.albuquerque
67,"The office of Public Affairs is the communication link between the VA, Veterans, the media and other stakeholders.",/services/Public_Affairs.asp,Raymond G. Murphy VA Medical CenterBuilding 53Room 021,505-265-1711 Ext. 6495  505-265-1711 Ext. 2269,Public Affairs,www.albuquerque
68,Recreation Therapy provides a broad range of activities and programs for Veteran patients.,/services/Recreation_Therapy.asp,Raymond G. Murphy VA Medical CenterRec Hall - Bldg. 2Recreation Therapy Office,505-265-1711 Ext. 4208  505-265-1711 Ext. 2030,Recreation Therapy,www.albuquerque
69,Our Release of Information staff can assist you with requests for your medical records.,/services/ReleaseofInformation.asp,Raymond G. Murphy VA Medical CenterBasementRoom BA-104,505-265-1711 Ext. 2449  505-265-1711 Ext. 2285,Release of Information,www.albuquerque
70,The VA ranks as one of the nation's leaders in health research.,/services/Research.asp,Raymond G. Murphy VA Medical CenterBldg. 66Research Administrative Office,505-265-1711 Ext. 5372,Research,www.albuquerque
71,The New Mexico VA Health Care System has an OEF/OIF/OND Care Management Team that works exclusively with returning combat Veterans.,/services/Returning_Service_Members.asp,Raymond G. Murphy VA Medical CenterBuilding 41Room 4B-101,505-265-1711 Ext. 6425  505-265-1711 Ext. 4739,Returning Service Members,www.albuquerque
72,The Raymond G. Murphy VA Medical Center has a Police Service.,/services/VA_Police.asp,Raymond G. Murphy VA Medical CenterBuilding 1Room 195 (east end of 1st floor),505-265-1711 Ext. 4222,VA Police,www.albuquerque
73,Veteran Service Officers assist in the development and submission of claims packages for Veterans and dependents.,/services/Veteran_Service_Organizations.asp,"Raymond G. Murphy VA Medical CenterBuilding 53Rooms 001, 020 and 025",505-265-1711 Ext. 2319  505-265-1711 Ext. 6217,Veteran Service Organizations,www.albuquerque
74,Veterans Justice Outreach limits the criminalization and unnecessary arrest of Veterans suffering from mental illness.,/services/Veterans_Justice_Outreach.asp,Raymond G. Murphy VA Medical CenterBuilding 52,505-265-1711 Ext. 3434  505-206-8453,Veterans Justice Outreach,www.albuquerque
75,Volunteers are a vital part of our health care teams.,/services/Voluntary_Service.asp,Raymond G. Murphy VA Medical CenterBuilding 53Room 005,505-265-1711 Ext. 2269,Voluntary Service,www.albuquerque
76,The Women Veterans Health Program (WVHP) assures access to VA healthcare for eligible Women Veterans.,/services/Women_Veterans_Health_Program.asp,Raymond G. Murphy VA Health Care SystemBuilding 41Room 2C-100,505-265-1711 Ext. 4621,Women Veterans Health Program,www.albuquerque
77,The VA now offers two automated options for ordering your prescription refills: by phone and on-line. Read the instructions below to see which option is right for you.,/services/pharmacy.asp,"Alexandria Main Campus, Building 7, Room 102, First Floor",318-473-0010 Ext. 5024,Pharmacy,www.alexandria
78,List of Administrative and Clinical Services,/services/services.asp,Alexandria Campus,318-466-0010,Services,www.alexandria
79,"Our behavioral health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,James E. Van Zandt VA Medical Center,877-626-2500,Behavioral Health,www.altoona
80,"Our long term care program includes: community living center, home based primary care, care coordination/home telehealth, hospice, and respite care.",/services/ecrc.asp,James E. Van Zandt VA Medical Center,877-626-2500,Long Term Care,www.altoona
81,"Our pharmacy processes more than 2,000 prescriptions daily. Prescriptions may be refilled by mail, by phone, or online.",/services/pharmacy.asp,James E. Van Zandt VA Medical CenterOutpatient Pharmacy,814-940-7829  800-720-7726,Pharmacy,www.altoona
82,Our primary care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/primary.asp,James E. Van Zandt VA Medical Center,814-943-8164  877-626-2500,Primary Care,www.altoona
83,Social services are an integral part of health care. Our social services staff assist veterans with counseling and community services.,/services/socialwork.asp,James E. Van Zandt VA Medical Center,814-943-8164  877-626-2500,Social Work,www.altoona
84,"Our specialty care program offers: behavioral health, cardiology, dental, dermatology, ear/nose/throat, surgery, neurology, ophthalmology, optometry and more.",/services/specialty.asp,James E. Van Zandt VA Medical Center,814-943-8164  877-626-2500,Specialty,www.altoona
85,An Advance Directive is a legal document that helps doctors and family members understand the patients wishes about health care needs.,/services/Advance_Directives.asp,Thomas E. Creek Medical Center4th Floor Room 4141,806-355-9703 Ext. 7286,Advance Directives,www.amarillo
86,The mission of Low Vision Clinic Services is to provide a continuum of care for blinded and low vision veterans.,/services/Advanced_Low_Vision_Clinic.asp,Thomas E. Creek Medical Center,806-355-9703,Advanced Low Vision Clinic,www.amarillo
87,Open Monday through Friday from 7:30 am to 5:00 pm and can be reached at 806-354-7856 or by dialing toll free at 800-687-8262.,/services/Appointments.asp,Amarillo VA Health Care System,806-354-7856  800-687-8262,Call Center,www.amarillo
88,Open Monday through Friday from 7:30 am to 5:00 pm and can be reached at 806-354-7856 or by dialing toll free at 800-687-8262.,/services/Appointments.asp,Amarillo VA Health Care System,806-354-7856  800-687-8262,Call Center,www.amarillo
89,,/services/Cancer_Care.asp,Thomas E. Creek Medical Center,806-355-9703 Ext. 4064,Cancer Care,www.amarillo
90,The Caregiver Support program is for Veterans who were injured in the line of duty after 9/11 and have a family member who assists them with daily living activities.,/services/Caregiver_Support_Program.asp,Thomas E. Creek VA Medical Center4th Floor Room 4142 or 4146,806-355-9703 Ext. 7928  806-355-9703 Ext. 7163,Caregiver Support Program,www.amarillo
91,Community Based Outpatient Clinics are medical centers that provide a variety of primary care services to eligible Veterans where they live.,/services/Community_Based_Outpatient_Clincis.asp,"Childres, TXClovis, NMLubbock, TX",806-355-9703 Ext. 7019,Community Based Outpatient Clinics,www.amarillo
92,Community Health Nursing Coordinators (CHNC) are responsible for discharge planning and continuity of care for those patients identified as requiring home care services.,/services/Community_Health_Nursing_Coordinators.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7656,Community Health Nursing Coordinators,www.amarillo
93,"Community Living Centers are extended care facilities which provide medical, nursing, rehabilitation and other supportive services for a limited stay and long term stay.",/services/Community_Living_Center.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7700  806-355-9703 Ext. 7702,Community Living Center,www.amarillo
94,The Contract Nursing Home Program  provides rehabilitation services with a goal of returning home the Veteran.,/services/Contract_Nursing_Home_Program.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7409,Contract Nursing Home Program,www.amarillo
95,The Dental Service provides a wide spectrum of care and all areas of general and preventive dentistry.,/services/Dental_Service.asp,Thomas E. Creek VA Medical Center1st FloorRoom 1156,806-354-7888,Dental Service,www.amarillo
96,The level of care provided at the Veterans Health Administration (VHA) Emergency Department (ED) varies between medical centers.,/services/Emergency_Department.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7765,Emergency Department,www.amarillo
97,Family Services offers therapy and supportive services to loved ones of mentally ill Veterans.,/services/Family_Services_Program.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7431,Family Services Program,www.amarillo
98,The HUD-VASH program is designed to support the national goal of ending chronic homelessness.,/services/HUD_VASH_Program.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7755,HUD-VASH Program,www.amarillo
99,Health Care for Homeless Veterans,/services/Health_Care_for_Homeless_Veterans.asp,Thomas E. Creek VA Medical Center4th Floor Room 4103,806-355-9703 Ext. 7522,Health Care for Homeless Veterans,www.amarillo
100,Home Based Primary Care (HBPC) is a program that delivers primary health care in the home using a hospital based interdisciplinary team to homebound eligible Veterans.,/services/Home_Based_Primary_Care.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7760,Home Based Primary Care,www.amarillo
101,The local Homeless Program Coordinator helps homeless Veterans and those at risk of becoming homeless.,/services/Homeless_Veteran_Coordinator.asp,Thomas E. Creek VA Medical Center4th Floor Room 4114A,806-355-9703 Ext. 7522,Homeless Veteran Coordinator,www.amarillo
102,Hospice and Palliative Care,/services/Hospice_and_Palliative_Care.asp,Thomas E. Creek VA Medical Center,806-355-9703,Hospice and Palliative Care,www.amarillo
103,The HUD-VASH program is designed to support the national goal of ending chronic homelessness.,/services/HUD_VASH_Program.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7755,Housing First,www.amarillo
104,Our laboratory personnel collect blood samples and perform many tests that aid physicians in the diagnosis and treatment of a variety of conditions.,/services/Laboratory.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7870,Laboratory,www.amarillo
105,Lodge,/services/Lodge.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 4800,Lodge,www.amarillo
106,"MOVE! is an evidence-based patient-centered, weight management program for medically overweight or obese Veterans.",/services/MOVE.asp,Amarillo VA Health Care System,806-355-9703 Ext. 4105,MOVE!,www.amarillo
107,The Medical Service offers comprehensive diagnostic and treatment capabilities to all eligible Veterans.,/services/Medical_Service.asp,Thomas E. Creek VA Medical Center2nd Floor,806-355-9703 Ext. 7871,Medical Service,www.amarillo
108,"Mental Health Intensive Case Management program has the mission to optimize the health, quality of life, and community functioning of Veterans with mental illnesses.",/services/Mental_Health_Intensive_Case_Management.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7123,Mental Health Intensive Case Management,www.amarillo
109,The Mental Health Service collaborates with community agencies and advocacy groups to enhance the care and services provided to Veterans.,/services/Mental_Health_Services.asp,Center for Therapy and RecoveryThomas E. Creek VA Medical CenterBuilding 44,806-355-9703 Ext. 7431,Mental Health Services,www.amarillo
110,Service provides diagnostic and therapeutic services through the use of radioisotopes.,/services/Nuclear_Medecine.asp,Thomas E. Creek VA Medical CenterBuilding 28 1st FloorRoom 1305,806-354-7899,Nuclear Medicine,www.amarillo
111,Nutrition and Food Service is committed to providing the best quality customer service to improve the health and satisfaction of Veterans and their families.,/services/Nutrition_and_Food_Service.asp,Amarillo VA Health Care System,806-355-9703 Ext. 7881,Nutrition and Food Service,www.amarillo
112,Each Veteran works together with health care professionals to plan for whole-person care and lifelong health and wellness.,/services/Patient_Aligned_Care_Teams.asp,Amarillo VA Health Care System,806-355-9703,Patient Aligned Care Teams,www.amarillo
113,You may visit the My HealtheVet or VA Drug Formulary Web sites for information about medications.,/services/Pharmacy.asp,Thomas E. Creek VA Medical Center,806-356-3770  800-687-8262 Ext. 3770,Pharmacy,www.amarillo
114,"The Physical Therapy staff at the Amarillo VA Health Care System provides evaluations of muscle strength, sensibility, and joint function.",/services/Patient_Advocate.asp,Thomas E. Creek VA Medical CenterRoom 1229or Room 2125,806-355-9703 Ext. 7165  806-355-9703 Ext. 7166,Physical Therapy,www.amarillo
115,The Prosthetic Treatment is  responsible for providing Prosthetic and Orthotic services for home use by eligible Veterans.,/services/Prosthetic_Treatment.asp,Thomas E. Creek VA Medical Center,806-355-9703,Prosthetic Treatment,www.amarillo
116,Recreation Therapy Service provides a broad range of activities and programs to assist Veteran patients.,/services/Recreation_Therapy.asp,Thomas E. Creek VA Medical Center,806-355-9703,Recreation Therapy,www.amarillo
117,Our mission is to help our patients achieve their highest functional level. We will accomplish this by providing quality services with understanding and sensitivity.,/services/Rehabilitation.asp,Thomas E. Creek VA Medical Center,806-355-9703,Rehabilitation,www.amarillo
118,Audiology and Speech Pathology Service provides evaluation and treatment.,/services/Speech_Pathology_and_Audiology.asp,Thomas E. Creek VA Medical Center,806-355-9703,Speech Pathology and Audiology,www.amarillo
119,"Alcohol and drug misuse can lead to serious health, relationship, employment, and legal problems.",/services/Substance_Use_Disorder_Program.asp,Center for Therapy and RecoveryThomas E. Creek VA Medical CenterBuilding 44,806-355-9703 Ext. 7655,Substance Use Disorder Program,www.amarillo
120,"Our mission is to provide immediate assistance to anyone seeking mental health services. Call for yourself, or someone you care about.",/services/Suicide_Preventions.asp,Center for Therapy and RecoveryThomas E. Creek VA Medical Center,806-355-9703 Ext. 7537,Suicide Prevention Program,www.amarillo
121,The Telephone Triage and Information Program can be reached by calling: (806) 354-7837 or 1-800-OUR-VMED (687-8633),/services/Tele_Nurse_Triage_After_Hours_Program.asp,Amarillo VA Health Care System,806-354-7837,Tele-Nurse Triage After-Hours Program,www.amarillo
122,New technologies such as telehealth help improve health care services.,/services/Telehealth.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 4513,Telehealth,www.amarillo
123,Tobacco Cessation Program helps Veterans who want to quit tobacco for good.,/services/Tobacco_Cessation_Program.asp,Thomas E. Creek VA Medical Center,806-355-9703 Ext. 7765,Tobacco Cessation Program,www.amarillo
124,The Veterans Readjustment Counseling Center staff offers education and counseling to combat Vets.,/services/Vet_Center.asp,"3414 Olsen BlvdSuite EAmarillo, TX 79109",806-354-9779  877-927-8387,Vet Center,www.amarillo
125,"Bariatric surgery, also known as weight loss surgery, accomplishes dramatic and long-lasting weight loss.",/services/Bariatric_Surgery.asp,VA Ann Arbor Healthcare System,734-769-7100,Bariatric Surgery,www.annarbor
126,Services that can provide you and the Veteran you care for with support programs both in and out of your home.,/services/Caregiver_Support.asp,VA Ann Arbor Healthcare System,734-222-7108 Ext. 27108  800-361-8387 Ext. 27108,Caregiver Support,www.annarbor
127,The VAAAHS has dedicated staff serving our Former Prisoners of War.,/services/FPOW.asp,VA Ann Arbor Healthcare System,734-845-5180  419-213-7539,Former Prisoners of War Information,www.annarbor
128,"A MFH provides a safe, home-like environment and an economical long-term care alternative for Veterans who are unable to live independently.",/services/medicalfosterhome.asp,VA Ann Arbor Healthcare System,734-222-4269 Ext. 24269  800-361-8387 Ext. 24269,Medical Foster Home Program,www.annarbor
129,"The mental health program provides consultation, evaluation, and treatment for a variety of issues that can impact emotional well-being.",/services/mentalhealth.asp,"Mental Health Clinic7th Floor, Room B707Located next to the Liberty Elevators",734-845-3471 Ext. 53471  800-361-8387 Ext. 53471,Mental Health,www.annarbor
130,"Palliative Care is the medical specialty focused on relief of the pain, stress and other debilitating symptoms of serious illness.",/services/palliativecare.asp,VA Ann Arbor Healthcare System,734-845-3666,Palliative Care,www.annarbor
131,"Our pharmacy processes more than 2,000 prescriptions daily. Prescriptions may be refilled by mail, phone, or online.",/services/pharmacy.asp,"Outpatient PharmacyHospital, first floorRoom D196",866-316-9350 Ext. 1  734-769-7100 Ext. 3,Pharmacy,www.annarbor
132,The primary care program offers an extensive range of treatments with an emphasis on health care prevention.,/services/primary.asp,VA Ann Arbor Healthcare System,800-361-8387  734-769-7100,Primary Care,www.annarbor
133,"Our extended care and rehabilitation program provides physical medicine and rehabilitation, as well as home and community care.",/services/ecrc.asp,"Extended Care CenterFirst floor, Room F149",800-361-8387  734-769-7100,Rehabilitation and Extended and Palliative Care Services,www.annarbor
